LA_2023,disability_group,year,inactive_rate,fairly_active_rate,active_rate
201,disty8,9,0.0,0.4370858310908996,0.5629141689091004
201,disty9,9,0.0,0.0,1.0
201,disty10,9,0.0,0.1865250980891846,0.8134749019108154
201,disty11,9,0.0,0.4234790575766871,0.5765209424233129
201,disty12,9,0.0,0.6016507273383674,0.3983492726616325
201,disty13,9,0.0,0.0,1.0
241,limiting_disability,9,0.3763714200068703,0.13097774627319,0.4926508337199396
241,non_limiting_disability,9,0.1285998311067834,0.0222926889222725,0.8491074799709444
241,no_disability,9,0.1241038840990334,0.1069657864239758,0.7689303294769907
241,disty1,9,0.527918955880085,0.215634012525489,0.2564470315944259
241,disty2,9,0.5443001170851709,0.2223803175280447,0.2333195653867847
241,disty3,9,0.357672242669333,0.3317650475204244,0.3105627098102425
241,disty4,9,0.2078193864618432,0.492975506318912,0.2992051072192446
241,disty5,9,0.4321896637805168,0.0487915770054352,0.5190187592140482
241,disty6,9,0.4347739036248342,0.565226096375166,0.0
241,disty7,9,0.247333619165786,0.2574072356552486,0.4952591451789654
241,disty8,9,0.7530270217251923,0.0423875189002799,0.2045854593745277
241,disty9,9,0.2689248688771414,0.0890245333290012,0.6420505977938572
241,disty10,9,1.0,0.0,0.0
241,disty11,9,0.4561277460580535,0.5438722539419466,0.0
241,disty12,9,0.4768721409592189,0.1505804685992931,0.372547390441488
241,disty13,9,0.2575313360633778,0.1295236658313471,0.6129449981052749
255,limiting_disability,9,0.3218303820423845,0.0594071919180961,0.6187624260395194
255,non_limiting_disability,9,0.1539224296383794,0.2048690353944056,0.6412085349672146
255,no_disability,9,0.1342935226127374,0.1007654016768283,0.7649410757104341
255,disty1,9,0.3431922222412935,0.0591007005490853,0.5977070772096212
255,disty2,9,0.3383750149807771,0.0813669541935026,0.58025803082572
255,disty3,9,0.3815213007470985,0.0314328005373218,0.5870458987155798
255,disty4,9,0.4899935103355019,0.0,0.510006489664498
255,disty5,9,0.29939264275796,0.0280079873621939,0.6725993698798458
255,disty6,9,0.3991341499833832,0.0,0.600865850016617
255,disty7,9,0.3567157936429742,0.0251990231745002,0.6180851831825257
255,disty8,9,0.3039521502074318,0.0,0.6960478497925682
255,disty9,9,0.0774067549904931,0.1558295282228014,0.7667637167867054
255,disty10,9,0.2754907557584757,0.0,0.7245092442415244
255,disty11,9,0.402694881009255,0.0,0.597305118990745
255,disty12,9,0.0646520964413979,0.0529025387667692,0.8824453647918328
255,disty13,9,0.0876070059774175,0.0,0.9123929940225824
272,limiting_disability,9,0.4155419208888475,0.0490651018244237,0.5353929772867289
272,non_limiting_disability,9,0.2880206254185994,0.0830963443471602,0.6288830302342405
272,no_disability,9,0.1564788140828166,0.07220762683276,0.7713135590844232
272,disty1,9,0.5196124400441591,0.0954067025449795,0.3849808574108614
272,disty2,9,0.5305960693536816,0.1006732030854898,0.3687307275608285
272,disty3,9,0.6452091009429128,0.0721795259362621,0.2826113731208249
272,disty4,9,0.1057081528213618,0.2367706585887382,0.6575211885899
272,disty5,9,0.4017277418611758,0.0832795942349498,0.5149926639038742
272,disty6,9,0.5647614645312075,0.4352385354687925,0.0
272,disty7,9,0.5529897186532053,0.1243480758060263,0.3226622055407683
272,disty8,9,0.6470127228390445,0.2595907684900188,0.0933965086709368
272,disty9,9,0.4935127278411497,0.390433749823324,0.1160535223355261
272,disty10,9,0.438029427070601,0.3780077668850936,0.1839628060443053
272,disty11,9,1.0,0.0,0.0
272,disty12,9,0.4599278341343061,0.0751971167146604,0.4648750491510334
272,disty13,9,0.7610647095812492,0.0,0.2389352904187509
279,limiting_disability,9,0.4800753070286072,0.0503361546606842,0.4695885383107085
279,non_limiting_disability,9,0.1329461583522943,0.0986266095032177,0.768427232144488
279,no_disability,9,0.3132922818662086,0.0844081673176258,0.6022995508161656
279,disty1,9,0.3966330650425301,0.0818697077706145,0.5214972271868553
279,disty2,9,0.3269539613845956,0.0,0.6730460386154046
279,disty3,9,0.5438563384825423,0.0592135233654213,0.3969301381520364
279,disty4,9,0.3660216097600674,0.0,0.6339783902399325
279,disty5,9,0.6300291091428465,0.0,0.3699708908571534
279,disty6,9,0.5298988941083134,0.0,0.4701011058916867
279,disty7,9,0.2645796708656099,0.0605577985585063,0.6748625305758836
279,disty8,9,0.7680685162648123,0.0914749252045911,0.1404565585305963
279,disty9,9,0.7617227513446952,0.0,0.2382772486553047
279,disty10,9,0.0,0.0,1.0
279,disty11,9,0.6138990946119892,0.3861009053880108,0.0
279,disty12,9,0.6798023257855415,0.0,0.3201976742144586
279,disty13,9,0.0,0.0,1.0
280,limiting_disability,9,0.2593762828336134,0.1140601114718567,0.6265636056945296
280,non_limiting_disability,9,0.1086424519503635,0.0585893058693398,0.8327682421802971
280,no_disability,9,0.0705753901758761,0.0881884664144698,0.8412361434096541
280,disty1,9,0.3032298092786326,0.1605671192903003,0.5362030714310669
280,disty2,9,0.2280718060442196,0.0858233721245771,0.6861048218312031
280,disty3,9,0.3658227865083577,0.1581955408651984,0.475981672626444
280,disty4,9,0.1043330160532541,0.0,0.8956669839467458
280,disty5,9,0.1528052789463649,0.0804619366514339,0.766732784402201
280,disty6,9,0.0809474712801049,0.1696426033918585,0.7494099253280365
280,disty7,9,0.2062214915624703,0.0447649443210245,0.7490135641165051
280,disty8,9,0.0696849658213489,0.0,0.9303150341786512
280,disty9,9,0.4074335607630837,0.0,0.5925664392369162
280,disty10,9,0.3087516140614882,0.3409867895388117,0.3502615963997
280,disty11,9,0.0,0.0,1.0
280,disty12,9,0.1949122752137563,0.2225283900932769,0.5825593346929668
280,disty13,9,0.0,0.0,1.0
293,limiting_disability,9,0.467300140195734,0.0524691156953242,0.4802307441089415
293,non_limiting_disability,9,0.1408814441439835,0.1640199640621095,0.695098591793907
293,no_disability,9,0.196797977069313,0.0608066270473731,0.7423953958833137
293,disty1,9,0.5366233701827073,0.0948541503914766,0.368522479425816
293,disty2,9,0.5180983831796894,0.0476917266572227,0.4342098901630881
293,disty3,9,0.5467600558089105,0.0938565119464766,0.3593834322446129
293,disty4,9,0.7511861722448818,0.0,0.2488138277551181
293,disty5,9,0.4729330909349667,0.0476593428472275,0.4794075662178052
293,disty6,9,0.7715302867747553,0.1370625332233103,0.0914071800019345
293,disty7,9,0.5785716400427713,0.0813851184252052,0.3400432415320236
293,disty8,9,0.6792258129021154,0.0268286624869345,0.2939455246109499
293,disty9,9,0.659389810605058,0.034797868478597,0.305812320916345
293,disty10,9,0.613332792943185,0.034351085032399,0.3523161220244159
293,disty11,9,1.0,0.0,0.0
293,disty12,9,0.4714164889068208,0.0856775495648177,0.4429059615283617
293,disty13,9,0.3137296033644154,0.4086587593786488,0.2776116372569355
8,limiting_disability,10,0.4826220065756146,0.1191007263790409,0.3982772670453444
8,non_limiting_disability,10,0.4232515787743227,0.040255095448219,0.5364933257774583
8,no_disability,10,0.3358997869514699,0.1066667672172959,0.5574334458312342
8,disty1,10,0.5466719837733386,0.054614913351759,0.3987131028749022
8,disty2,10,0.614253495772134,0.095288898730804,0.2904576054970621
8,disty3,10,0.5371682217525193,0.0823253957320855,0.3805063825153951
8,disty4,10,0.2235042586991873,0.0866578001748783,0.6898379411259343
8,disty5,10,0.5160344260652213,0.1642347444644963,0.3197308294702825
8,disty6,10,0.6077579838430343,0.0,0.3922420161569657
8,disty7,10,0.5801117874948789,0.1605257793275513,0.2593624331775699
8,disty8,10,0.6952200508670949,0.0759496242448702,0.2288303248880346
8,disty9,10,0.5692162393918152,0.0923402089701982,0.3384435516379865
8,disty10,10,0.4103963385638052,0.0,0.5896036614361948
8,disty11,10,0.3301448919440459,0.0,0.669855108055954
8,disty12,10,0.4083030340206307,0.109544720758412,0.4821522452209574
8,disty13,10,0.5524778247687917,0.0,0.4475221752312082
9,limiting_disability,10,0.3022371858811831,0.1296620021583528,0.5681008119604641
9,non_limiting_disability,10,0.1106692833629002,0.1427696163841787,0.7465611002529212
9,no_disability,10,0.1370428327876503,0.0707929983765928,0.7921641688357567
9,disty1,10,0.3016432394814994,0.1524251642813059,0.5459315962371946
9,disty2,10,0.2328662414195641,0.1826579943312796,0.5844757642491561
9,disty3,10,0.4143902488187137,0.0395052878460043,0.5461044633352821
9,disty4,10,0.6473486321262136,0.0,0.3526513678737863
9,disty5,10,0.086851004053983,0.2346115663345989,0.678537429611418
9,disty6,10,0.5933613593826159,0.0,0.406638640617384
9,disty7,10,0.3445756739826029,0.0675197842651095,0.5879045417522873
9,disty8,10,0.5833539600902545,0.0,0.4166460399097454
9,disty9,10,0.3185460450543155,0.0,0.6814539549456846
9,disty10,10,0.3064729686414738,0.0,0.6935270313585262
9,disty11,10,1.0,0.0,0.0
9,disty12,10,0.0,0.0574563535540747,0.9425436464459254
9,disty13,10,0.5634020659151685,0.0,0.4365979340848317
17,limiting_disability,10,0.3490814166245832,0.1401041030407079,0.5108144803347089
17,non_limiting_disability,10,0.2155085219428096,0.0583528571849931,0.7261386208721973
17,no_disability,10,0.2334416942134431,0.0687283867597284,0.6978299190268282
17,disty1,10,0.4107303492540991,0.178595596153405,0.4106740545924959
17,disty2,10,0.3159935745568429,0.2742785507611241,0.409727874682033
17,disty3,10,0.390617347541806,0.0978787274354452,0.5115039250227488
17,disty4,10,0.2726661664271009,0.0840080371775071,0.6433257963953919
17,disty5,10,0.1930502880908013,0.0618978709049934,0.7450518410042053
17,disty6,10,1.0,0.0,0.0
17,disty7,10,0.4752623146422944,0.0713571407355239,0.4533805446221817
17,disty8,10,0.187936869393727,0.0,0.8120631306062729
17,disty9,10,0.5458302789066618,0.0855542510846313,0.3686154700087068
17,disty10,10,0.0687930006605432,0.0,0.9312069993394568
17,disty11,10,0.0890886472717664,0.0,0.9109113527282336
17,disty12,10,0.0805946033244398,0.0549470978704485,0.8644582988051115
17,disty13,10,0.0,0.3725214162218885,0.6274785837781114
30,limiting_disability,10,0.3492326443385624,0.1714295615115587,0.4793377941498789
30,non_limiting_disability,10,0.2548444439931533,0.0589192983075424,0.6862362576993044
30,no_disability,10,0.2213905214507462,0.1188325747372984,0.6597769038119554
30,disty1,10,0.5696973620198894,0.1653414086788665,0.2649612293012442
30,disty2,10,0.5333233626152822,0.0857125208588688,0.380964116525849
30,disty3,10,0.5383490739571759,0.1163853926989166,0.3452655333439074
30,disty4,10,0.3515996450551935,0.0437176771252521,0.6046826778195544
30,disty5,10,0.2711534726948994,0.1625369555888982,0.5663095717162026
30,disty6,10,0.7441474007597847,0.0,0.2558525992402154
30,disty7,10,0.3354132772939762,0.1046748597605306,0.5599118629454934
30,disty8,10,0.2248404110793966,0.1057056405010417,0.6694539484195617
30,disty9,10,0.3593378822362191,0.0278264236007957,0.6128356941629849
30,disty10,10,0.2135620965869104,0.1252318264929644,0.6612060769201251
30,disty11,10,0.1183578245549727,0.0516295879295039,0.8300125875155232
30,disty12,10,0.1175670135072658,0.146494888559734,0.735938097933
30,disty13,10,0.52436301888692,0.0,0.4756369811130797
35,limiting_disability,10,0.505104138088253,0.0745236702397342,0.4203721916720127
35,non_limiting_disability,10,0.1112908016360113,0.1148087905385412,0.7739004078254476
35,no_disability,10,0.1520036379580579,0.1074959089178306,0.7405004531241113
35,disty1,10,0.5563223447302452,0.0838716234097346,0.3598060318600201
35,disty2,10,0.457499648802254,0.1664866443406286,0.3760137068571174
35,disty3,10,0.5162853125278024,0.0228662417065493,0.4608484457656482
35,disty4,10,0.4191157987149803,0.0935753928331632,0.4873088084518565
35,disty5,10,0.5378411324995863,0.0569959093140696,0.4051629581863439
35,disty6,10,0.417548555815686,0.1669883351656814,0.4154631090186325
35,disty7,10,0.4720080191093181,0.1578096514824556,0.3701823294082264
35,disty8,10,0.4103529765522758,0.0598129213049789,0.5298341021427451
35,disty9,10,0.291020978534578,0.1163884290481891,0.5925905924172329
35,disty10,10,0.5728642422247237,0.0,0.4271357577752763
35,disty11,10,0.3385149306076613,0.1433714187179386,0.5181136506744001
35,disty12,10,0.6502921479509586,0.065769996990365,0.2839378550586763
35,disty13,10,0.6288640605969029,0.1092395089659182,0.2618964304371787
44,limiting_disability,10,0.3757474539751288,0.0613253982416532,0.5629271477832175
44,non_limiting_disability,10,0.1332645392965873,0.0700201152703434,0.7967153454330694
44,no_disability,10,0.1140208525322837,0.0824473877569658,0.8035317597107504
44,disty1,10,0.4641594456221783,0.045980835297989,0.4898597190798328
44,disty2,10,0.4488438819852943,0.0459055251945795,0.5052505928201261
44,disty3,10,0.5156421979180307,0.0976430200479835,0.3867147820339857
44,disty4,10,0.6813679093721744,0.0667315993816002,0.2519004912462254
44,disty5,10,0.5233348793626116,0.0721970954882085,0.4044680251491799
44,disty6,10,0.650100276712597,0.0,0.349899723287403
44,disty7,10,0.4449204769905678,0.0,0.5550795230094321
44,disty8,10,0.6542220348811728,0.0,0.3457779651188273
44,disty9,10,0.7328159763456006,0.0,0.2671840236543995
44,disty10,10,0.5092311993428125,0.0,0.4907688006571875
44,disty11,10,0.2936617752233579,0.0,0.7063382247766421
44,disty12,10,0.4434951960101828,0.1361046719279822,0.4204001320618348
44,disty13,10,0.0636110405554753,0.0,0.9363889594445248
68,limiting_disability,10,0.4126728969954604,0.0717582403995733,0.5155688626049663
68,non_limiting_disability,10,0.2987290227769075,0.0955462174203156,0.6057247598027767
68,no_disability,10,0.1816049944986251,0.1002557451318224,0.7181392603695523
68,disty1,10,0.5538863851991563,0.0658489765576116,0.3802646382432321
68,disty2,10,0.3802183830645546,0.0939750867949624,0.5258065301404828
68,disty3,10,0.5496805389142464,0.0306732513119684,0.4196462097737851
68,disty4,10,0.5338489421648485,0.0582837943575519,0.4078672634775996
68,disty5,10,0.3478419469500601,0.0226575435095097,0.62950050954043
68,disty6,10,0.6179157851220636,0.0974079777039313,0.2846762371740053
68,disty7,10,0.5507807899568237,0.0256409334369945,0.4235782766061818
68,disty8,10,0.3531024907952467,0.1490166140814429,0.4978808951233103
68,disty9,10,0.8815754904789999,0.0,0.1184245095210001
68,disty10,10,0.0384843233116557,0.0,0.9615156766883444
68,disty11,10,0.3698511855878411,0.0,0.6301488144121589
68,disty12,10,0.1037883645061422,0.0433206346905933,0.8528910008032644
68,disty13,10,0.4032764321309696,0.0,0.5967235678690302
78,limiting_disability,10,0.3625185101781782,0.0689708539957438,0.568510635826078
78,non_limiting_disability,10,0.0570229729623107,0.0667896638360472,0.8761873632016419
78,no_disability,10,0.2623381631581328,0.0517112584539713,0.6859505783878957
78,disty1,10,0.3325638198172433,0.1063561422227194,0.5610800379600375
78,disty2,10,0.402660607267325,0.0662774008059071,0.531061991926768
78,disty3,10,0.457072461454648,0.1072242087752538,0.4357033297700981
78,disty4,10,0.4781800076159082,0.081997670242079,0.4398223221420126
78,disty5,10,0.4393696844002207,0.0567336818711856,0.5038966337285938
78,disty6,10,0.5791491206770935,0.0,0.4208508793229065
78,disty7,10,0.384185805808162,0.0861508607283121,0.5296633334635258
78,disty8,10,0.1362285649695673,0.1098355931921269,0.7539358418383058
78,disty9,10,0.2276980466117785,0.3622252897110279,0.4100766636771934
78,disty10,10,0.3900196708895782,0.0,0.6099803291104218
78,disty11,10,0.3555620565344031,0.0,0.6444379434655967
78,disty12,10,0.3601260072118788,0.0579659727122669,0.5819080200758541
78,disty13,10,0.2752370577316376,0.0,0.7247629422683622
91,limiting_disability,10,0.4408068979262272,0.0214184285151908,0.5377746735585819
91,non_limiting_disability,10,0.2577599548328275,0.1250916302618876,0.6171484149052847
91,no_disability,10,0.2643744362962561,0.0858921900768917,0.649733373626852
91,disty1,10,0.5376288692888304,0.017904984368223,0.4444661463429467
91,disty2,10,0.3705890143430571,0.0297832018875071,0.5996277837694362
91,disty3,10,0.5518250757319227,0.0178168044918359,0.4303581197762411
91,disty4,10,0.6230241843383231,0.0,0.3769758156616768
91,disty5,10,0.6906978236468497,0.0346106663671218,0.2746915099860283
91,disty6,10,0.4400566054318195,0.0,0.5599433945681804
91,disty7,10,0.4062570112811363,0.0286699880905376,0.5650730006283259
91,disty8,10,0.8249866832209286,0.0,0.1750133167790715
91,disty9,10,0.4046519373939283,0.0,0.5953480626060716
91,disty10,10,0.501158607059264,0.0360086208298969,0.462832772110839
91,disty11,10,0.1634051793234513,0.0,0.8365948206765487
91,disty12,10,0.9172889216918184,0.0,0.0827110783081815
91,disty13,10,0.8731022435932172,0.1268977564067827,0.0
107,limiting_disability,10,0.4088712033778383,0.1048090380670361,0.4863197585551255
107,non_limiting_disability,10,0.1863144097443559,0.1314157912733927,0.6822697989822514
107,no_disability,10,0.2470737340730504,0.1168896117780479,0.6360366541489015
107,disty1,10,0.4168890540693978,0.0915798249878952,0.4915311209427068
107,disty2,10,0.3075409314067378,0.1389426191409088,0.5535164494523533
107,disty3,10,0.5048212634142658,0.1461126618777436,0.3490660747079902
107,disty4,10,0.4954937987789835,0.096744697734018,0.4077615034869985
107,disty5,10,0.3116188297920936,0.0453865266831362,0.6429946435247703
107,disty6,10,0.4403269624474968,0.1577460925613609,0.4019269449911423
107,disty7,10,0.3561054313352821,0.1085605433667658,0.5353340252979518
107,disty8,10,0.475767105149776,0.1316210103122881,0.3926118845379359
107,disty9,10,0.4011638212550209,0.3032966126715972,0.295539566073382
